[j]2026/02/12 11:03:52 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.6989e-05, layer transfer time: 5.4388e-05, total time: 8.1377e-05, layer compressed size: 2297 
[j]2026/02/12 11:03:52 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.1623e-05, layer transfer time: 3.6637e-05, total time: 5.826e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:52 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.2609e-05, layer transfer time: 3.8363e-05, total time: 6.0972e-05, layer compressed size: 424 
[j]2026/02/12 11:03:52 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.5129e-05, layer transfer time: 4.0909e-05, total time: 6.6038e-05, layer compressed size: 424 
[j]2026/02/12 11:03:53 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.052869383, layer transfer time: 0.084673671, total time: 0.137543054, layer compressed size: 29537716 
[j]2026/02/12 11:03:53 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.1046e-05, layer transfer time: 4.7966e-05, total time: 7.9012e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:53 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.0529e-05, layer transfer time: 0.000582406, total time: 0.000612935, layer compressed size: 6688 
[j]2026/02/12 11:03:53 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.030856812, layer transfer time: 0.069369364, total time: 0.100226176, layer compressed size: 34398943 
[j]2026/02/12 11:03:53 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.761e-05, layer transfer time: 5.2796e-05, total time: 8.0406e-05, layer compressed size: 2296 
[j]2026/02/12 11:03:53 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.007459296, layer transfer time: 0.059072652, total time: 0.06653194800000001, layer compressed size: 25691281 
