[j]2026/02/25 11:47:43 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.215e-06, ssd time: 0, layer transfer time: 4.5788e-05, total time: 4.9003000000000005e-05, layer compressed size: 1213 
[j]2026/02/25 11:47:43 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 1.993e-06, ssd time: 0, layer transfer time: 4.5109e-05, total time: 4.7102e-05, layer compressed size: 6 
[j]2026/02/25 11:47:43 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 1.974e-06, ssd time: 0, layer transfer time: 4.8582e-05, total time: 5.0555999999999995e-05, layer compressed size: 6 
[j]2026/02/25 11:47:43 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.969e-06, ssd time: 0, layer transfer time: 6.0467e-05, total time: 6.343600000000001e-05, layer compressed size: 6 
[j]2026/02/25 11:47:44 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.472e-06, ssd time: 0, layer transfer time: 4.7779e-05, total time: 5.0251e-05, layer compressed size: 6 
[j]2026/02/25 11:47:44 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.069e-06, ssd time: 0, layer transfer time: 4.623e-05, total time: 4.8299000000000006e-05, layer compressed size: 6 
[j]2026/02/25 11:47:44 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.012744771, layer transfer time: 0.077479419, total time: 0.09022419, layer compressed size: 33139958 
[j]2026/02/25 11:47:44 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.071873997, layer transfer time: 0.134394961, total time: 0.206268958, layer compressed size: 29778632 
[j]2026/02/25 11:47:44 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 1.932e-06, ssd time: 0, layer transfer time: 5.3039e-05, total time: 5.4971e-05, layer compressed size: 6 
[j]2026/02/25 11:47:45 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.859e-06, ssd time: 0, layer transfer time: 4.9341e-05, total time: 5.32e-05, layer compressed size: 1213 
[j]2026/02/25 11:47:45 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.4947e-05, layer transfer time: 4.1659e-05, total time: 6.6606e-05, layer compressed size: 405 
[j]2026/02/25 12:06:23 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.473471111, layer transfer time: 6.8368e-05, total time: 0.473539479, layer compressed size: 393 
